职位名,公司名,工作地点,薪资,发布时间
JAVA开发工程师-深圳-00046,京北方信息技术股份有限公司深圳分公司,深圳-福田区,0.6-1.6万/月,05-19
JAVA开发工程师,深圳市东进技术股份有限公司,深圳-福田区,1-1.5万/月,05-19
Java高级开发工程师,深圳市两步路信息技术有限公司,深圳-南山区,1.5-3万/月,05-19
Java高级工程师,深圳市合伙人互联网金融服务有限公司,深圳-福田区,1-1.5万/月,05-19
JAVA软件工程师（金融项目）,上海安硕信息技术股份有限公司,深圳-福田区,0.6-1.2万/月,05-19
JAVA高级工程师,深圳市赛格导航科技股份有限公司,深圳-龙岗区,1.5-2.5万/月,05-19
高级JAVA软件开发工程师,申朴信息技术（上海）股份有限公司,深圳-福田区,1.5-2万/月,05-19
Java软件工程师,集思软件开发（深圳）有限公司,深圳-福田区,6-8千/月,05-19
Java高级开发工程师,深圳触云科技有限公司,深圳,1.5-3万/月,05-19
Java开发工程师,浙江金惠科技有限公司,深圳-南山区,0.8-1万/月,05-19
Java高级开发工程师,深圳市前海水晶球文化传播有限公司,深圳-福田区,2-2.5万/月,05-19
Java高级开发工程师,深圳市商贸通供应链管理有限公司,深圳-福田区,1.5-2.5万/月,05-19
Java服务器工程师,深圳市威富安防有限公司,深圳-宝安区,1.5-2万/月,05-19
Java开发工程师,深圳市金研微科技有限公司,深圳,0.6-1.2万/月,05-19
应届生初级软件工程师（java方向）,深圳市鸿平网络科技有限公司,深圳-宝安区,3-5.2千/月,05-19
Java后台开发工程师,深圳市万源达网络科技有限公司,深圳-龙岗区,5-8千/月,05-19
Java工程师,深圳百胜扬工业电子商务平台发展有限公司,深圳-南山区,1-2万/月,05-19
Java软件工程师,品创设计（深圳）有限公司,深圳-宝安区,6-9千/月,05-19
Java开发工程师,深圳市百创网络科技有限公司,深圳-南山区,1-2万/月,05-19
Java高级开发工程师,深圳市驾到汽车租赁有限公司,深圳-宝安区,1.8-2.5万/月,05-19
Java算法工程师,拓维集团,深圳-龙岗区,1-2万/月,05-19
助理软件开发工程师（Java/C）,埃森哲（中国）有限公司广州天河分公司,深圳,6-8千/月,05-19
Java开发工程师,深圳市智岩科技有限公司,深圳-南山区,1-1.5万/月,05-19
Java软件工程师,深圳市达城威电子科技有限公司,深圳-龙岗区,0.7-1万/月,05-19
Java开发工程师,郴州七啸网络科技有限公司,异地招聘,6-8千/月,05-19
java工程师,深圳市三牛犇科技有限公司,深圳-南山区,0.8-1万/月,05-19
java中高级开发工程师（合肥）,深圳嘉源锐信管理软件有限公司,异地招聘,1-2万/月,05-19
Java软件工程师,深圳市宠云科技有限公司,深圳-南山区,1-1.5万/月,05-19
JAVA开发工程师（中高级）,深圳市有棵树科技有限公司,深圳-龙岗区,1.5-2万/月,05-19
JAVA中级软件开发工程师,深圳斯达领科网络科技有限公司,异地招聘,0.7-1.2万/月,05-19
Java高级（主程）游戏开发,深圳掌悦网络科技有限公司,深圳,1.5-2.5万/月,05-19
Java开发工程师,深圳市创业印章实业有限公司,深圳,1-2万/月,05-19
（高级）Java开发工程师,东莞市迪尔西信息科技有限公司,深圳-南山区,0.8-1.6万/月,05-19
Java软件高级工程师,港加贺电子（深圳）有限公司,深圳-宝安区,1.5-1.8万/月,05-19
Java开发工程师,上海依威能源科技有限公司,深圳,0.6-1.5万/月,05-19
Java开发工程师,深圳市博实结科技有限公司,深圳,7-9千/月,05-19
腾讯ABS云平台项目Java高级开发工程师,深圳市知网智能技术有限公司,深圳-南山区,1-2万/月,05-19
Java开发工程师,望家欢农产品集团有限公司,深圳-宝安区,0.8-1.5万/月,05-19
Java开发工程师,深圳市华云中盛科技有限公司,深圳-南山区,1.8-2.5万/月,05-19
Java高级开发工程师,深圳京柏医疗科技股份有限公司,深圳-宝安区,1.5-2万/月,05-19
Java高级开发工程师,深圳市食客行科技有限公司,深圳-福田区,1.5-2万/月,05-19
高级JAVA开发工程师,深圳智者行天下科技有限公司,深圳,2-2.5万/月,05-19
